Assembly	10F_plasmid-spades_contigs	11F_plasmid-spades_contigs	13F_plasmid-spades_contigs	14F_plasmid-spades_contigs	15F_plasmid-spades_contigs	16F_plasmid-spades_contigs	17F_plasmid-spades_contigs	18F_plasmid-spades_contigs	19F_plasmid-spades_contigs	1F_plasmid-spades_contigs	20F_plasmid-spades_contigs	21F_plasmid-spades_contigs	22F_plasmid-spades_contigs	23F_plasmid-spades_contigs	24F_plasmid-spades_contigs	25F_plasmid-spades_contigs	2F_plasmid-spades_contigs	3F_plasmid-spades_contigs	4F_plasmid-spades_contigs	6F_plasmid-spades_contigs	8F_plasmid-spades_contigs
# contigs (>= 0 bp)	1789	1237	9	3881	232	727	1214	3294	1343	7	1521	2648	157	1531	137	1413	8	950	1525	457	82
# contigs (>= 1000 bp)	18	7	4	13	4	9	15	14	10	5	24	14	16	15	10	20	3	10	13	16	10
# contigs (>= 5000 bp)	4	1	4	4	1	2	3	4	2	4	2	2	3	5	4	3	2	1	2	3	4
# contigs (>= 10000 bp)	2	0	4	1	0	1	2	1	2	2	1	0	1	5	2	2	2	0	0	1	3
# contigs (>= 25000 bp)	1	0	2	1	0	1	1	1	1	2	0	0	1	3	1	0	2	0	0	1	1
# contigs (>= 50000 bp)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total length (>= 0 bp)	425479	264660	113356	789397	55142	208801	308702	684996	324466	86631	357359	533636	111322	446917	102233	366160	79890	208376	328018	163905	97025
Total length (>= 1000 bp)	83862	20533	112397	76527	12420	56436	71962	70351	58214	85575	65418	39218	81146	156041	74973	71801	78737	20860	31978	67565	79592
Total length (>= 5000 bp)	63533	8534	112397	56315	7377	44353	55277	50838	45974	83992	18902	13472	49829	142552	61553	46027	77156	9414	11931	44008	66660
Total length (>= 10000 bp)	49004	0	112397	34177	0	35128	46781	31512	45974	71093	10432	0	36422	142552	49498	37928	77156	0	0	31564	57570
Total length (>= 25000 bp)	31562	0	78320	34177	0	35128	36122	31512	35348	71093	0	0	36422	107835	31875	0	77156	0	0	31564	36413
Total length (>= 50000 bp)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# contigs	38	32	4	19	7	37	35	23	35	6	44	19	19	43	12	68	3	32	38	36	13
Largest contig	31562	8534	45585	34177	7377	35128	36122	31512	35348	40736	10432	8313	36422	38202	31875	22561	41788	9414	6235	31564	36413
Total length	97275	37462	112397	81213	14601	76484	85448	76832	74775	86386	78874	42603	83235	174112	76707	103649	78737	36364	48457	81165	81641
GC (%)	66.75	64.23	65.35	64.21	58.25	54.80	59.99	62.27	51.74	56.55	59.14	50.50	50.03	51.97	60.00	57.07	54.77	53.12	60.33	49.33	52.99
N50	17442	1334	32735	8476	7377	9225	10659	8277	10626	30357	2794	2880	8140	31566	17623	1953	41788	1093	1600	6091	10800
N75	1494	710	21586	2910	1477	943	1292	2788	1295	30357	1264	1814	3006	22936	5939	820	35368	764	785	1534	9090
L50	2	6	2	2	1	2	2	2	2	2	9	5	2	3	2	6	1	8	8	3	2
L75	10	17	3	6	3	10	9	7	9	2	19	10	7	4	4	27	2	18	18	11	4
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
